,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type
0,"Chey Chumneah, Daun Penh, Phnom Penh","$52,000",1,1.0,35,,Apartment,buy
1,"Preaek Lieb, Chroy Changvar, Phnom Penh","$290,000",4,5.0,,,Twin,buy
2," Sangkat Buon, Sihanoukville, Sihanoukville","$45,000",1,1.0,35,,Apartment,buy
3," Sangkat Bei, Sihanoukville, Sihanoukville","$7,500,000",,,,1025.0,Land,buy
4," Sangkat Bei, Sihanoukville, Sihanoukville","$1,500/m²",,,,1593.0,Land,buy
5," BKK 1, Chamkarmon, Phnom Penh","$85,496","['1', '6']",,"['39', '1068']",,Project,buy
6," Svay Dankum, Siem Reap, Siem Reap","$86,478","['1', '3']",,"['32', '136']",,Condo,buy
7," Boeung Tumpun 2, Meanchey, Phnom Penh","$115,112$80,000SAVE30.50%",1,1.0,55,,Apartment,buy
8,Platinum Coast,"$60,152",1,1.0,35,,Condo,buy
9," Tuek Thla, Sen Sok, Phnom Penh","$77,164","['1', '3']",,"['30', '127']",,,buy
10," Tonle Bassac, Chamkarmon, Phnom Penh","$110,000","['1', '3']",,"['59', '169']",,Project,buy
11," Tonle Bassac, Chamkarmon, Phnom Penh","$275,000","['1', '3']",,"['78', '196']",,Condo,buy
12," Srah Chak, Daun Penh, Phnom Penh","$60,067","['1', '2']",,"['37', '91']",,Project,buy
13," 306 , BKK 1, Chamkarmon, Phnom Penh","$115,900","['1', '2']",,"['43', '1600']",,Project,buy
14," BKK 1, Chamkarmon, Phnom Penh","$181,000","['2', '3']",,"['65', '153']",,,buy
15,"  , Sangkat Buon, Sihanoukville, Sihanoukville","$73,000",,,"['32', '66']",,Project,buy
16," Khmuonh, Sen Sok, Phnom Penh","$185,000","['4', '7']",,"['143', '624']",,Borey,buy
17,LZ Sea View Residences,"$136,000",2,2.0,68,,Condo,buy
18," Nirouth, Chbar Ampov, Phnom Penh","$68,000","['1', '4']",,"['32', '1800']",,Project,buy
19," Komai, Svay Dankum, Siem Reap, Siem Reap","$183,000","['1', '4']",,"['105', '272']",,Condo,buy
20,LZ Sea View Residences,"$99,946",1,1.0,64,,Condo,buy
21," Chroy Changvar, Chroy Changvar, Phnom Penh","$225,888","['3', '5']",,"['45', '156']",,Condo,buy
22,Agile Sky Residence,"$115,000",1,1.0,56,,Condo,buy
23,Orkide The Royal Condominium,"$185,000",2,2.0,95,,Condo,buy
24,"Boeung Tumpun, Meanchey, Phnom Penh","$73,000",,1.0,58,,Condo,buy
25," Boeung Kak 2, Toul Kork, Phnom Penh","$2,250,000",4,5.0,,789.0,Villa,buy
26," Dangkao, Dangkao, Phnom Penh",$125/m²,,,,3213.0,Land,buy
27," Tonle Bassac, Chamkarmon, Phnom Penh","$65,000",1,1.0,47,,Condo,buy
28,"Nirouth, Chbar Ampov, Phnom Penh","$210,000",4,5.0,81,81.0,Flat,buy
29,"Preaek Ta Sek, Chroy Changvar, Phnom Penh","$340,000",4,5.0,,176.0,Shophouse,buy
