,location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link
0,"Veal Sbov, Chbar Ampov, Phnom Penh","$236,000",8,10.0,,,Shophouse,buy,https://www.realestate.com.kh/buy/veal-sbov/8-bed-10-bath-shophouse-232724/
1,"Tonle Bassac, Chamkarmon, Phnom Penh","$840,403",3,3.0,,,Condo,buy,https://www.realestate.com.kh/buy/tonle-bassac/3-bed-3-bath-condo-232673/
2,"Koh Dach, Chroy Changvar, Phnom Penh",$150/m²,,,,792.0,Land,buy,https://www.realestate.com.kh/buy/koh-dach/land-232168/
3,"Ream, Prey Nob, Sihanoukville","$1,150,000",3,5.0,704,,Penthouse,buy,https://www.realestate.com.kh/buy/ream/3-bed-5-bath-penthouse-231424/
4,"Chey Chumneah, Daun Penh, Phnom Penh","$52,000",1,1.0,35,,Apartment,buy,https://www.realestate.com.kh/buy/chey-chumneah/1-bed-1-bath-apartment-231296/
5,"Preaek Lieb, Chroy Changvar, Phnom Penh","$275,000",4,5.0,,,Twin,buy,https://www.realestate.com.kh/buy/preaek-lieb/4-bed-5-bath-twin-villa-229981/
6," Sangkat Buon, Sihanoukville, Sihanoukville","$45,000",1,1.0,35,,Apartment,buy,https://www.realestate.com.kh/buy/sangkat-buon/1-bed-1-bath-apartment-229922/
7," Sangkat Bei, Sihanoukville, Sihanoukville","$7,500,000",,,,1025.0,Land,buy,https://www.realestate.com.kh/buy/sangkat-bei/land-229584/
8," Sangkat Bei, Sihanoukville, Sihanoukville","$1,500/m²",,,,1593.0,Land,buy,https://www.realestate.com.kh/buy/sangkat-bei/land-229583/
9," Svay Dankum, Siem Reap, Siem Reap","$86,478","['1', '3']",,"['32', '136']",,Project,buy,https://www.realestate.com.kh/new-developments/rose-apple-square/
10," Tonle Bassac, Chamkarmon, Phnom Penh","$330,000",,,,,Project,buy,https://www.realestate.com.kh/new-developments/j-tower-3-condominium/
