location,price,bedrooms,bathrooms,floors,lands,realestate_category,type,link,sangkat,khan,city/provice,lat,lon
"Veal Sbov, Chbar Ampov, Phnom Penh",236000,8,10,,,Shophouse,buy,https://www.realestate.com.kh/buy/veal-sbov/8-bed-10-bath-shophouse-232724/,Veal Sbov,Chbar Ampov,Phnom Penh,11.5228263,104.9667447
"Tonle Bassac, Chamkarmon, Phnom Penh",840403,3,3,,,Condo,buy,https://www.realestate.com.kh/buy/tonle-bassac/3-bed-3-bath-condo-232673/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Koh Dach, Chroy Changvar, Phnom Penh",150,,,,792,Land,buy,https://www.realestate.com.kh/buy/koh-dach/land-232168/,Koh Dach,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Ream, Prey Nob, Sihanoukville",1150000,3,5,704,,Penthouse,buy,https://www.realestate.com.kh/buy/ream/3-bed-5-bath-penthouse-231424/,Ream,Prey Nob,Sihanoukville,10.6524043,103.7958258
"Chey Chumneah, Daun Penh, Phnom Penh",52000,1,1,35,,Apartment,buy,https://www.realestate.com.kh/buy/chey-chumneah/1-bed-1-bath-apartment-231296/,Chey Chumneah,Daun Penh,Phnom Penh,11.5772693,104.9194273
"Preaek Lieb, Chroy Changvar, Phnom Penh",275000,4,5,,,Twin,buy,https://www.realestate.com.kh/buy/preaek-lieb/4-bed-5-bath-twin-villa-229981/,Preaek Lieb,Chroy Changvar,Phnom Penh,11.5823106,104.9344762
"Sangkat Buon, Sihanoukville, Sihanoukville",45000,1,1,35,,Apartment,buy,https://www.realestate.com.kh/buy/sangkat-buon/1-bed-1-bath-apartment-229922/,Sangkat Buon,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Sangkat Bei, Sihanoukville, Sihanoukville",7500000,,,,1025,Land,buy,https://www.realestate.com.kh/buy/sangkat-bei/land-229584/,Sangkat Bei,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Sangkat Bei, Sihanoukville, Sihanoukville",1500,,,,1593,Land,buy,https://www.realestate.com.kh/buy/sangkat-bei/land-229583/,Sangkat Bei,Sihanoukville,Sihanoukville,10.50614075,103.26205644863938
"Svay Dankum, Siem Reap, Siem Reap",86478,"['1', '3']",,"['32', '136']",,Project,buy,https://www.realestate.com.kh/new-developments/rose-apple-square/,Svay Dankum,Siem Reap,Siem Reap,13.3617562,103.8590321
"Tonle Bassac, Chamkarmon, Phnom Penh",330000,,,,,Project,buy,https://www.realestate.com.kh/new-developments/j-tower-3-condominium/,Tonle Bassac,Chamkarmon,Phnom Penh,11.5477265,104.9407431
"Boeung Tumpun 2, Meanchey, Phnom Penh",80000,1,1,55,,Apartment,buy,https://www.realestate.com.kh/buy/boeung-tumpun-2/1-bed-1-bath-apartment-223400/,Boeung Tumpun 2,Meanchey,Phnom Penh,13.104489,103.1978242
