Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-06,Away,L,4-3-3,Premier League,Bournemouth,Peter Bankes
2022-08-13,Home,W,4-1-2-1-2◆,Premier League,Everton,Michael Oliver
2022-08-20,Away,L,4-3-3,Premier League,Crystal Palace,Andy Madley
2022-08-23,Away,W,4-4-2◆,EFL Cup,Bolton,Andrew Kitchen
2022-08-28,Home,L,4-3-1-2,Premier League,West Ham,David Coote
2022-08-31,Away,L,4-3-3,Premier League,Arsenal,Robert Jones
2022-09-03,Home,D,4-3-2-1,Premier League,Manchester City,Simon Hooper
2022-09-16,Home,W,4-3-2-1,Premier League,Southampton,Tony Harrington
2022-10-02,Away,D,4-3-3,Premier League,Leeds United,Stuart Attwell
2022-10-10,Away,D,4-3-3,Premier League,Nott'ham Forest,Anthony Taylor
2022-10-16,Home,L,4-3-3,Premier League,Chelsea,Robert Jones
2022-10-20,Away,L,4-3-2-1,Premier League,Fulham,Michael Oliver
2022-10-23,Home,W,4-2-3-1,Premier League,Brentford,Darren England
2022-10-29,Away,L,4-2-3-1,Premier League,Newcastle Utd,Paul Tierney
2022-11-06,Home,W,4-2-2-2,Premier League,Manchester Utd,Anthony Taylor
2022-11-10,Away,L,4-4-2,EFL Cup,Manchester Utd,David Coote
2022-11-13,Away,W,4-4-2,Premier League,Brighton,Chris Kavanagh
2022-12-26,Home,L,4-4-2,Premier League,Liverpool,Paul Tierney
2023-01-01,Away,W,4-4-2,Premier League,Tottenham,John Brooks
2023-01-04,Home,D,4-4-2,Premier League,Wolves,Jarred Gillett
2023-01-08,Home,L,4-3-3,FA Cup,Stevenage,Graham Scott
2023-01-13,Home,W,4-4-2,Premier League,Leeds United,Michael Oliver
2023-01-21,Away,W,4-4-2,Premier League,Southampton,Michael Salisbury
2023-02-04,Home,L,4-4-2,Premier League,Leicester City,Darren England
2023-02-12,Away,L,4-4-2,Premier League,Manchester City,Robert Jones
2023-02-18,Home,L,4-4-2,Premier League,Arsenal,Simon Hooper
2023-02-25,Away,W,4-4-2,Premier League,Everton,Anthony Taylor
2023-03-04,Home,W,4-2-3-1,Premier League,Crystal Palace,Craig Pawson
2023-03-12,Away,D,4-2-3-1,Premier League,West Ham,Chris Kavanagh
2023-03-18,Home,W,4-2-3-1,Premier League,Bournemouth,Robert Jones
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-04-01,Away,W,4-4-2,Premier League,Chelsea,Andy Madley
2023-04-04,Away,W,4-4-2,Premier League,Leicester City,Graham Scott
2023-04-08,Home,W,4-4-2,Premier League,Nott'ham Forest,Anthony Taylor
2023-04-15,Home,W,4-2-3-1,Premier League,Newcastle Utd,John Brooks
2023-04-22,Away,D,4-2-3-1,Premier League,Brentford,Michael Salisbury
2023-04-25,Home,W,4-2-3-1,Premier League,Fulham,Thomas Bramall
2023-04-30,Away,L,4-2-3-1,Premier League,Manchester Utd,Jarred Gillett
2023-05-06,Away,L,4-4-2,Premier League,Wolves,Stuart Attwell
2023-05-13,Home,W,4-4-2,Premier League,Tottenham,Peter Bankes
2023-05-20,Away,D,4-2-3-1,Premier League,Liverpool,John Brooks
2023-05-28,Home,W,4-2-3-1,Premier League,Brighton,David Coote
