Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-05,Home,L,4-2-3-1,Premier League,Arsenal,Anthony Taylor
2022-08-15,Away,D,5-4-1,Premier League,Liverpool,Paul Tierney
2022-08-20,Home,W,4-3-3,Premier League,Aston Villa,Andy Madley
2022-08-23,Away,W,4-3-3,EFL Cup,Oxford United,Peter Bankes
2022-08-27,Away,L,5-4-1,Premier League,Manchester City,Darren England
2022-08-30,Home,D,4-1-4-1,Premier League,Brentford,Simon Hooper
2022-09-03,Away,D,4-3-3,Premier League,Newcastle Utd,Michael Salisbury
2022-10-01,Home,L,4-3-3,Premier League,Chelsea,Chris Kavanagh
2022-10-09,Home,W,4-3-3,Premier League,Leeds United,Paul Tierney
2022-10-15,Away,D,4-3-3,Premier League,Leicester City,Andy Madley
2022-10-18,Home,W,4-3-3,Premier League,Wolves,David Coote
2022-10-22,Away,L,4-1-4-1,Premier League,Everton,Simon Hooper
2022-10-29,Home,W,4-3-3,Premier League,Southampton,Michael Salisbury
2022-11-06,Away,W,4-3-3,Premier League,West Ham,Paul Tierney
2022-11-09,Away,D,3-4-3,EFL Cup,Newcastle Utd,Graham Scott
2022-11-12,Away,L,4-3-3,Premier League,Nott'ham Forest,John Brooks
2022-12-26,Home,L,4-3-3,Premier League,Fulham,Andy Madley
2022-12-31,Away,W,4-2-3-1,Premier League,Bournemouth,Andre Marriner
2023-01-04,Home,L,4-2-3-1,Premier League,Tottenham,Michael Oliver
2023-01-07,Home,L,4-3-3,FA Cup,Southampton,Darren Bond
2023-01-15,Away,L,4-2-3-1,Premier League,Chelsea,Peter Bankes
2023-01-18,Home,D,4-2-3-1,Premier League,Manchester Utd,Robert Jones
2023-01-21,Home,D,4-2-3-1,Premier League,Newcastle Utd,Craig Pawson
2023-02-04,Away,L,4-2-3-1,Premier League,Manchester Utd,Andre Marriner
2023-02-11,Home,D,4-4-2,Premier League,Brighton,Michael Oliver
2023-02-18,Away,D,4-2-3-1,Premier League,Brentford,Paul Tierney
2023-02-25,Home,D,4-2-3-1,Premier League,Liverpool,Darren England
2023-03-04,Away,L,4-2-3-1,Premier League,Aston Villa,Craig Pawson
2023-03-11,Home,L,4-3-3,Premier League,Manchester City,Robert Jones
2023-03-15,Away,L,4-3-3,Premier League,Brighton,Peter Bankes
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-03-19,Away,L,4-2-3-1,Premier League,Arsenal,Stuart Attwell
2023-04-01,Home,W,4-3-3,Premier League,Leicester City,Tim Robinson
2023-04-09,Away,W,4-3-3,Premier League,Leeds United,Simon Hooper
2023-04-15,Away,W,4-3-3,Premier League,Southampton,Michael Oliver
2023-04-22,Home,D,4-3-3,Premier League,Everton,John Brooks
2023-04-25,Away,L,4-3-3,Premier League,Wolves,Robert Jones
2023-04-29,Home,W,4-3-3,Premier League,West Ham,Craig Pawson
2023-05-06,Away,L,4-3-3,Premier League,Tottenham,Darren England
2023-05-13,Home,W,4-2-3-1,Premier League,Bournemouth,Michael Salisbury
2023-05-20,Away,D,4-2-3-1,Premier League,Fulham,Joshua Smith
2023-05-28,Home,D,4-2-3-1,Premier League,Nott'ham Forest,Thomas Bramall
