Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-06,Home,L,5-4-1,Premier League,Chelsea,Craig Pawson
2022-08-13,Away,L,3-4-3,Premier League,Aston Villa,Michael Oliver
2022-08-20,Home,D,3-4-3,Premier League,Nott'ham Forest,Andre Marriner
2022-08-23,Away,W,5-3-2,EFL Cup,Fleetwood Town,Tom Reeves
2022-08-27,Away,D,3-4-3,Premier League,Brentford,John Brooks
2022-08-30,Away,D,4-3-3,Premier League,Leeds United,Darren England
2022-09-03,Home,D,4-3-3,Premier League,Liverpool,Anthony Taylor
2022-09-18,Home,W,4-3-3,Premier League,West Ham,Michael Oliver
2022-10-01,Away,W,4-3-3,Premier League,Southampton,Andre Marriner
2022-10-09,Home,L,4-3-3,Premier League,Manchester Utd,David Coote
2022-10-15,Away,L,5-3-2,Premier League,Tottenham,Paul Tierney
2022-10-19,Away,L,4-3-3,Premier League,Newcastle Utd,Tony Harrington
2022-10-22,Home,W,4-2-3-1,Premier League,Crystal Palace,Simon Hooper
2022-10-29,Away,D,4-2-3-1,Premier League,Fulham,John Brooks
2022-11-05,Home,L,4-3-3,Premier League,Leicester City,David Coote
2022-11-08,Away,L,3-5-2,EFL Cup,Bournemouth,Darren England
2022-11-12,Away,L,4-3-3,Premier League,Bournemouth,Craig Pawson
2022-12-26,Home,L,4-3-3,Premier League,Wolves,Craig Pawson
2022-12-31,Away,D,5-3-2,Premier League,Manchester City,Andy Madley
2023-01-03,Home,L,4-3-3,Premier League,Brighton,Andre Marriner
2023-01-06,Away,L,5-3-2,FA Cup,Manchester Utd,Darren England
2023-01-14,Home,L,3-4-3,Premier League,Southampton,John Brooks
2023-01-21,Away,L,3-4-3,Premier League,West Ham,Stuart Attwell
2023-02-04,Home,W,4-5-1,Premier League,Arsenal,David Coote
2023-02-13,Away,L,4-5-1,Premier League,Liverpool,Simon Hooper
2023-02-18,Home,W,4-5-1,Premier League,Leeds United,Andy Madley
2023-02-25,Home,L,4-1-4-1,Premier League,Aston Villa,Anthony Taylor
2023-03-01,Away,L,4-5-1,Premier League,Arsenal,Michael Oliver
2023-03-05,Away,D,4-5-1,Premier League,Nott'ham Forest,John Brooks
2023-03-11,Home,W,4-5-1,Premier League,Brentford,Simon Hooper
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-03-18,Away,D,4-5-1,Premier League,Chelsea,Darren England
2023-04-03,Home,D,4-1-4-1,Premier League,Tottenham,David Coote
2023-04-08,Away,L,4-4-2,Premier League,Manchester Utd,Michael Oliver
2023-04-15,Home,L,4-4-2,Premier League,Fulham,Anthony Taylor
2023-04-22,Away,D,4-2-3-1,Premier League,Crystal Palace,John Brooks
2023-04-27,Home,L,4-3-3,Premier League,Newcastle Utd,Andre Marriner
2023-05-01,Away,D,4-2-3-1,Premier League,Leicester City,Michael Oliver
2023-05-08,Away,W,4-2-3-1,Premier League,Brighton,Simon Hooper
2023-05-14,Home,L,4-2-3-1,Premier League,Manchester City,Anthony Taylor
2023-05-20,Away,D,4-1-4-1,Premier League,Wolves,David Coote
2023-05-28,Home,W,3-4-3,Premier League,Bournemouth,Stuart Attwell
