Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-06,Home,D,4-2-3-1,Premier League,Liverpool,Andy Madley
2022-08-13,Away,D,4-2-3-1,Premier League,Wolves,John Brooks
2022-08-20,Home,W,4-2-3-1,Premier League,Brentford,Peter Bankes
2022-08-23,Away,L,4-2-3-1,EFL Cup,Crawley Town,Lee Swabey
2022-08-27,Away,L,4-2-3-1,Premier League,Arsenal,Jarred Gillett
2022-08-30,Home,W,4-2-3-1,Premier League,Brighton,Thomas Bramall
2022-09-03,Away,L,4-2-3-1,Premier League,Tottenham,Stuart Attwell
2022-09-16,Away,W,4-2-3-1,Premier League,Nott'ham Forest,Jarred Gillett
2022-10-01,Home,L,4-2-3-1,Premier League,Newcastle Utd,Darren England
2022-10-09,Away,L,4-2-3-1,Premier League,West Ham,Chris Kavanagh
2022-10-15,Home,D,4-2-3-1,Premier League,Bournemouth,Graham Scott
2022-10-20,Home,W,4-2-3-1,Premier League,Aston Villa,Michael Oliver
2022-10-23,Away,W,4-2-3-1,Premier League,Leeds United,Anthony Taylor
2022-10-29,Home,D,4-2-3-1,Premier League,Everton,John Brooks
2022-11-05,Away,L,4-2-3-1,Premier League,Manchester City,Darren England
2022-11-13,Home,L,4-2-3-1,Premier League,Manchester Utd,Paul Tierney
2022-12-26,Away,W,4-2-3-1,Premier League,Crystal Palace,Andy Madley
2022-12-31,Home,W,4-2-3-1,Premier League,Southampton,Graham Scott
2023-01-03,Away,W,4-2-3-1,Premier League,Leicester City,Darren Bond
2023-01-07,Away,W,4-2-3-1,FA Cup,Hull City,Joshua Smith
2023-01-12,Home,W,4-2-3-1,Premier League,Chelsea,David Coote
2023-01-15,Away,L,4-2-3-1,Premier League,Newcastle Utd,Robert Jones
2023-01-23,Home,L,4-2-3-1,Premier League,Tottenham,Paul Tierney
2023-01-28,Home,D,4-2-3-1,FA Cup,Sunderland,Michael Salisbury
2023-02-03,Away,D,4-2-3-1,Premier League,Chelsea,Stuart Attwell
2023-02-08,Away,W,4-2-3-1,FA Cup,Sunderland,Tim Robinson
2023-02-11,Home,W,4-2-3-1,Premier League,Nott'ham Forest,Andy Madley
2023-02-18,Away,W,4-2-3-1,Premier League,Brighton,Darren England
2023-02-24,Home,D,4-2-3-1,Premier League,Wolves,Michael Oliver
2023-02-28,Home,W,4-2-3-1,FA Cup,Leeds United,Chris Kavanagh
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-03-06,Away,L,4-2-3-1,Premier League,Brentford,Anthony Taylor
2023-03-12,Home,L,4-2-3-1,Premier League,Arsenal,David Coote
2023-03-19,Away,L,4-2-3-1,FA Cup,Manchester Utd,Chris Kavanagh
2023-04-01,Away,L,4-2-3-1,Premier League,Bournemouth,Peter Bankes
2023-04-08,Home,L,4-2-3-1,Premier League,West Ham,Jarred Gillett
2023-04-15,Away,W,4-2-3-1,Premier League,Everton,Anthony Taylor
2023-04-22,Home,W,4-2-3-1,Premier League,Leeds United,Peter Bankes
2023-04-25,Away,L,4-2-3-1,Premier League,Aston Villa,Thomas Bramall
2023-04-30,Home,L,4-2-3-1,Premier League,Manchester City,Simon Hooper
2023-05-03,Away,L,4-2-3-1,Premier League,Liverpool,Stuart Attwell
2023-05-08,Home,W,4-2-3-1,Premier League,Leicester City,Robert Jones
2023-05-13,Away,W,4-2-3-1,Premier League,Southampton,Thomas Bramall
2023-05-20,Home,D,4-2-3-1,Premier League,Crystal Palace,Joshua Smith
2023-05-28,Away,L,4-2-3-1,Premier League,Manchester Utd,Robert Jones
