Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-07,Home,L,4-3-3,Premier League,Brighton,Paul Tierney
2022-08-13,Away,L,4-2-3-1,Premier League,Brentford,Stuart Attwell
2022-08-22,Home,W,4-2-3-1,Premier League,Liverpool,Michael Oliver
2022-08-27,Away,W,4-2-3-1,Premier League,Southampton,Andy Madley
2022-09-01,Away,W,4-2-3-1,Premier League,Leicester City,Craig Pawson
2022-09-04,Home,W,4-2-3-1,Premier League,Arsenal,Paul Tierney
2022-09-08,Home,L,4-2-3-1,Europa Lg,es Real Sociedad,Marco Di Bello
2022-09-15,Away,W,4-2-3-1,Europa Lg,md Sheriff Tiraspol,Paweł Raczkowski
2022-10-02,Away,L,4-2-3-1,Premier League,Manchester City,Michael Oliver
2022-10-06,Away,W,4-2-3-1,Europa Lg,cy AC Omonia,João Pinheiro
2022-10-09,Away,W,4-2-3-1,Premier League,Everton,David Coote
2022-10-13,Home,W,4-2-3-1,Europa Lg,cy AC Omonia,Jérôme Brisard
2022-10-16,Home,D,4-2-3-1,Premier League,Newcastle Utd,Craig Pawson
2022-10-19,Home,W,4-2-3-1,Premier League,Tottenham,Simon Hooper
2022-10-22,Away,D,4-1-4-1,Premier League,Chelsea,Stuart Attwell
2022-10-27,Home,W,4-2-3-1,Europa Lg,md Sheriff Tiraspol,Anastasios Sidiropoulos
2022-10-30,Home,W,4-2-3-1,Premier League,West Ham,Chris Kavanagh
2022-11-03,Away,W,4-2-3-1,Europa Lg,es Real Sociedad,Georgi Kabakov
2022-11-06,Away,L,4-2-3-1,Premier League,Aston Villa,Anthony Taylor
2022-11-10,Home,W,4-2-3-1,EFL Cup,Aston Villa,David Coote
2022-11-13,Away,W,4-2-3-1,Premier League,Fulham,Paul Tierney
2022-12-21,Home,W,4-2-3-1,EFL Cup,Burnley,Graham Scott
2022-12-27,Home,W,4-2-3-1,Premier League,Nott'ham Forest,Anthony Taylor
2022-12-31,Away,W,4-2-3-1,Premier League,Wolves,Robert Jones
2023-01-03,Home,W,4-2-3-1,Premier League,Bournemouth,Michael Salisbury
2023-01-06,Home,W,4-2-3-1,FA Cup,Everton,Darren England
2023-01-10,Home,W,4-2-3-1,EFL Cup,Charlton Ath,Jarred Gillett
2023-01-14,Home,W,4-2-3-1,Premier League,Manchester City,Stuart Attwell
2023-01-18,Away,D,4-2-3-1,Premier League,Crystal Palace,Robert Jones
2023-01-22,Away,L,4-2-3-1,Premier League,Arsenal,Anthony Taylor
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-01-25,Away,W,4-2-3-1,EFL Cup,Nott'ham Forest,Michael Oliver
2023-01-28,Home,W,4-2-3-1,FA Cup,Reading,Darren England
2023-02-01,Home,W,4-3-3,EFL Cup,Nott'ham Forest,Peter Bankes
2023-02-04,Home,W,4-2-3-1,Premier League,Crystal Palace,Andre Marriner
2023-02-08,Home,D,4-2-3-1,Premier League,Leeds United,Simon Hooper
2023-02-12,Away,W,4-2-3-1,Premier League,Leeds United,Paul Tierney
2023-02-16,Away,D,4-1-4-1,Europa Lg,es Barcelona,Maurizio Mariani
2023-02-19,Home,W,4-2-3-1,Premier League,Leicester City,Stuart Attwell
2023-02-23,Home,W,4-2-3-1,Europa Lg,es Barcelona,Clément Turpin
2023-02-26,Home,W,4-2-3-1,EFL Cup,Newcastle Utd,David Coote
2023-03-01,Home,W,4-3-3,FA Cup,West Ham,Michael Salisbury
2023-03-05,Away,L,4-2-3-1,Premier League,Liverpool,Andy Madley
2023-03-09,Home,W,4-2-3-1,Europa Lg,es Betis,Daniel Siebert
2023-03-12,Home,D,4-1-4-1,Premier League,Southampton,Anthony Taylor
2023-03-16,Away,W,4-2-3-1,Europa Lg,es Betis,Srđan Jovanović
2023-03-19,Home,W,4-2-3-1,FA Cup,Fulham,Chris Kavanagh
2023-04-02,Away,L,4-2-3-1,Premier League,Newcastle Utd,Stuart Attwell
2023-04-05,Home,W,4-2-3-1,Premier League,Brentford,John Brooks
2023-04-08,Home,W,4-2-3-1,Premier League,Everton,Michael Oliver
2023-04-13,Home,D,4-2-3-1,Europa Lg,es Sevilla,Felix Zwayer
2023-04-16,Away,W,4-2-3-1,Premier League,Nott'ham Forest,Simon Hooper
2023-04-20,Away,L,4-2-3-1,Europa Lg,es Sevilla,Artur Dias
2023-04-23,Neutral,D,4-2-3-1,FA Cup,Brighton,Craig Pawson
2023-04-27,Away,D,4-2-3-1,Premier League,Tottenham,Anthony Taylor
2023-04-30,Home,W,4-1-4-1,Premier League,Aston Villa,Jarred Gillett
2023-05-04,Away,L,4-3-3,Premier League,Brighton,Andre Marriner
2023-05-07,Away,L,4-2-3-1,Premier League,West Ham,Peter Bankes
2023-05-13,Home,W,4-2-3-1,Premier League,Wolves,John Brooks
2023-05-20,Away,W,4-2-3-1,Premier League,Bournemouth,Chris Kavanagh
2023-05-25,Home,W,4-2-3-1,Premier League,Chelsea,Stuart Attwell
2023-05-28,Home,W,4-2-3-1,Premier League,Fulham,Robert Jones
