Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-06,Home,W,4-3-3,Premier League,Nott'ham Forest,Simon Hooper
2022-08-13,Away,D,4-3-3,Premier League,Brighton,Graham Scott
2022-08-21,Home,D,4-3-3,Premier League,Manchester City,Jarred Gillett
2022-08-24,Away,W,4-3-3,EFL Cup,Tranmere Rovers,Anthony Backhouse
2022-08-28,Away,D,4-3-3,Premier League,Wolves,Peter Bankes
2022-08-31,Away,L,4-3-3,Premier League,Liverpool,Andre Marriner
2022-09-03,Home,D,4-3-3,Premier League,Crystal Palace,Michael Salisbury
2022-09-17,Home,D,4-3-3,Premier League,Bournemouth,Craig Pawson
2022-10-01,Away,W,4-3-3,Premier League,Fulham,Darren England
2022-10-08,Home,W,4-3-3,Premier League,Brentford,John Brooks
2022-10-16,Away,D,4-3-3,Premier League,Manchester Utd,Craig Pawson
2022-10-19,Home,W,4-3-3,Premier League,Everton,Tony Harrington
2022-10-23,Away,W,4-3-3,Premier League,Tottenham,Jarred Gillett
2022-10-29,Home,W,4-3-3,Premier League,Aston Villa,Paul Tierney
2022-11-06,Away,W,4-3-3,Premier League,Southampton,Stuart Attwell
2022-11-09,Home,D,4-3-3,EFL Cup,Crystal Palace,Graham Scott
2022-11-12,Home,W,4-3-3,Premier League,Chelsea,Robert Jones
2022-12-20,Home,W,4-3-3,EFL Cup,Bournemouth,John Brooks
2022-12-26,Away,W,4-3-3,Premier League,Leicester City,Jarred Gillett
2022-12-31,Home,D,4-3-3,Premier League,Leeds United,Simon Hooper
2023-01-03,Away,D,4-3-3,Premier League,Arsenal,Andy Madley
2023-01-07,Away,L,4-3-3,FA Cup,Sheffield Weds,Michael Salisbury
2023-01-10,Home,W,4-3-3,EFL Cup,Leicester City,Darren England
2023-01-15,Home,W,4-3-3,Premier League,Fulham,Robert Jones
2023-01-21,Away,D,4-3-3,Premier League,Crystal Palace,Craig Pawson
2023-01-24,Away,W,4-3-3,EFL Cup,Southampton,Stuart Attwell
2023-01-31,Home,W,4-3-3,EFL Cup,Southampton,Paul Tierney
2023-02-04,Home,D,4-3-3,Premier League,West Ham,Peter Bankes
2023-02-11,Away,D,4-3-3,Premier League,Bournemouth,Stuart Attwell
2023-02-18,Home,L,4-3-3,Premier League,Liverpool,Anthony Taylor
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-02-26,Away,L,4-3-3,EFL Cup,Manchester Utd,David Coote
2023-03-04,Away,L,4-3-3,Premier League,Manchester City,Simon Hooper
2023-03-12,Home,W,4-3-3,Premier League,Wolves,Andy Madley
2023-03-17,Away,W,4-3-3,Premier League,Nott'ham Forest,Paul Tierney
2023-04-02,Home,W,4-3-3,Premier League,Manchester Utd,Stuart Attwell
2023-04-05,Away,W,4-3-3,Premier League,West Ham,Craig Pawson
2023-04-08,Away,W,4-3-3,Premier League,Brentford,Chris Kavanagh
2023-04-15,Away,L,4-3-3,Premier League,Aston Villa,John Brooks
2023-04-23,Home,W,4-3-3,Premier League,Tottenham,David Coote
2023-04-27,Away,W,4-3-3,Premier League,Everton,Andre Marriner
2023-04-30,Home,W,4-3-3,Premier League,Southampton,Anthony Taylor
2023-05-07,Home,L,4-3-3,Premier League,Arsenal,Chris Kavanagh
2023-05-13,Away,D,4-3-3,Premier League,Leeds United,Simon Hooper
2023-05-18,Home,W,4-3-3,Premier League,Brighton,Robert Jones
2023-05-22,Home,D,4-3-3,Premier League,Leicester City,Andre Marriner
2023-05-28,Away,D,4-3-3,Premier League,Chelsea,Jarred Gillett
