Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-05,Away,W,4-3-3,Premier League,Crystal Palace,Anthony Taylor
2022-08-13,Home,W,4-3-3,Premier League,Leicester City,Darren England
2022-08-20,Away,W,4-3-3,Premier League,Bournemouth,Craig Pawson
2022-08-27,Home,W,4-3-3,Premier League,Fulham,Jarred Gillett
2022-08-31,Home,W,4-3-3,Premier League,Aston Villa,Robert Jones
2022-09-04,Away,L,4-3-3,Premier League,Manchester Utd,Paul Tierney
2022-09-08,Away,W,4-3-3,Europa Lg,ch Zürich,Mohammed Al Hakim
2022-09-18,Away,W,4-3-3,Premier League,Brentford,David Coote
2022-10-01,Home,W,4-3-3,Premier League,Tottenham,Anthony Taylor
2022-10-06,Home,W,4-3-3,Europa Lg,no Bodø/Glimt,Harm Osmers
2022-10-09,Home,W,4-3-3,Premier League,Liverpool,Michael Oliver
2022-10-13,Away,W,4-3-3,Europa Lg,no Bodø/Glimt,Irfan Peljto
2022-10-16,Away,W,4-3-3,Premier League,Leeds United,Chris Kavanagh
2022-10-20,Home,W,4-3-3,Europa Lg,nl PSV Eindhoven,Alejandro Hernández
2022-10-23,Away,D,4-3-3,Premier League,Southampton,Robert Jones
2022-10-27,Away,L,4-3-3,Europa Lg,nl PSV Eindhoven,Marco Di Bello
2022-10-30,Home,W,4-3-3,Premier League,Nott'ham Forest,Simon Hooper
2022-11-03,Home,W,4-3-3,Europa Lg,ch Zürich,Erik Lambrechts
2022-11-06,Away,W,4-3-3,Premier League,Chelsea,Michael Oliver
2022-11-09,Home,L,4-2-3-1,EFL Cup,Brighton,Jarred Gillett
2022-11-12,Away,W,4-3-3,Premier League,Wolves,Stuart Attwell
2022-12-26,Home,W,4-3-3,Premier League,West Ham,Michael Oliver
2022-12-31,Away,W,4-3-3,Premier League,Brighton,Anthony Taylor
2023-01-03,Home,D,4-3-3,Premier League,Newcastle Utd,Andy Madley
2023-01-09,Away,W,4-3-3,FA Cup,Oxford United,David Coote
2023-01-15,Away,W,4-3-3,Premier League,Tottenham,Craig Pawson
2023-01-22,Home,W,4-3-3,Premier League,Manchester Utd,Anthony Taylor
2023-01-27,Away,L,4-3-3,FA Cup,Manchester City,Paul Tierney
2023-02-04,Away,L,4-3-3,Premier League,Everton,David Coote
2023-02-11,Home,D,4-3-3,Premier League,Brentford,Peter Bankes
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-02-15,Home,L,4-3-3,Premier League,Manchester City,Anthony Taylor
2023-02-18,Away,W,4-3-3,Premier League,Aston Villa,Simon Hooper
2023-02-25,Away,W,4-3-3,Premier League,Leicester City,Craig Pawson
2023-03-01,Home,W,4-3-3,Premier League,Everton,Michael Oliver
2023-03-04,Home,W,4-3-3,Premier League,Bournemouth,Chris Kavanagh
2023-03-09,Away,D,4-3-3,Europa Lg,pt Sporting CP,Tobias Stieler
2023-03-12,Away,W,4-3-3,Premier League,Fulham,David Coote
2023-03-16,Home,D,4-3-3,Europa Lg,pt Sporting CP,Antonio Matéu
2023-03-19,Home,W,4-3-3,Premier League,Crystal Palace,Stuart Attwell
2023-04-01,Home,W,4-3-3,Premier League,Leeds United,Darren England
2023-04-09,Away,D,4-3-3,Premier League,Liverpool,Paul Tierney
2023-04-16,Away,D,4-3-3,Premier League,West Ham,David Coote
2023-04-21,Home,D,4-3-3,Premier League,Southampton,Simon Hooper
2023-04-26,Away,L,4-3-3,Premier League,Manchester City,Michael Oliver
2023-05-02,Home,W,4-3-3,Premier League,Chelsea,Robert Jones
2023-05-07,Away,W,4-3-3,Premier League,Newcastle Utd,Chris Kavanagh
2023-05-14,Home,L,4-3-3,Premier League,Brighton,Andy Madley
2023-05-20,Away,L,4-3-3,Premier League,Nott'ham Forest,Anthony Taylor
2023-05-28,Home,W,4-3-3,Premier League,Wolves,Andre Marriner
