Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-07,Home,D,3-5-1-1,Premier League,Brentford,Jarred Gillett
2022-08-13,Away,L,3-5-1-1,Premier League,Arsenal,Darren England
2022-08-20,Home,L,4-1-4-1,Premier League,Southampton,Michael Salisbury
2022-08-23,Away,D,4-2-3-1,EFL Cup,Stockport,Samuel Barrott
2022-08-27,Away,L,4-1-4-1,Premier League,Chelsea,Paul Tierney
2022-09-01,Home,L,4-1-4-1,Premier League,Manchester Utd,Craig Pawson
2022-09-04,Away,L,4-4-2,Premier League,Brighton,Tony Harrington
2022-09-17,Away,L,4-1-4-1,Premier League,Tottenham,Simon Hooper
2022-10-03,Home,W,4-1-4-1,Premier League,Nott'ham Forest,Robert Jones
2022-10-08,Away,L,4-1-4-1,Premier League,Bournemouth,Michael Salisbury
2022-10-15,Home,D,4-1-4-1,Premier League,Crystal Palace,Andy Madley
2022-10-20,Home,W,4-1-4-1,Premier League,Leeds United,Peter Bankes
2022-10-23,Away,W,4-1-4-1,Premier League,Wolves,Michael Oliver
2022-10-29,Home,L,3-4-3,Premier League,Manchester City,Robert Jones
2022-11-05,Away,W,4-1-4-1,Premier League,Everton,David Coote
2022-11-08,Home,W,4-2-3-1,EFL Cup,Newport County,Darren Bond
2022-11-12,Away,W,4-1-4-1,Premier League,West Ham,Jarred Gillett
2022-12-20,Away,W,4-2-3-1,EFL Cup,MK Dons,Andre Marriner
2022-12-26,Home,L,4-2-3-1,Premier League,Newcastle Utd,Jarred Gillett
2022-12-30,Away,L,4-2-3-1,Premier League,Liverpool,Craig Pawson
2023-01-03,Home,L,4-2-3-1,Premier League,Fulham,Darren Bond
2023-01-07,Away,W,4-4-2,FA Cup,Gillingham,Samuel Barrott
2023-01-10,Away,L,4-2-3-1,EFL Cup,Newcastle Utd,Darren England
2023-01-14,Away,L,4-2-3-1,Premier League,Nott'ham Forest,Paul Tierney
2023-01-21,Home,D,4-4-2,Premier League,Brighton,Thomas Bramall
2023-01-28,Away,W,4-2-3-1,FA Cup,Walsall,Gavin Ward
2023-02-04,Away,W,4-2-3-1,Premier League,Aston Villa,Darren England
2023-02-11,Home,W,4-2-3-1,Premier League,Tottenham,Michael Salisbury
2023-02-19,Away,L,4-2-3-1,Premier League,Manchester Utd,Stuart Attwell
2023-02-25,Home,L,4-3-3,Premier League,Arsenal,Craig Pawson
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-02-28,Home,L,4-3-3,FA Cup,Blackburn,Tim Robinson
2023-03-04,Away,L,4-2-3-1,Premier League,Southampton,Robert Jones
2023-03-11,Home,L,3-4-3,Premier League,Chelsea,Andre Marriner
2023-03-18,Away,D,4-2-3-1,Premier League,Brentford,Darren Bond
2023-04-01,Away,L,4-2-3-1,Premier League,Crystal Palace,Tim Robinson
2023-04-04,Home,L,4-3-3,Premier League,Aston Villa,Graham Scott
2023-04-08,Home,L,4-2-3-1,Premier League,Bournemouth,David Coote
2023-04-15,Away,L,3-4-3,Premier League,Manchester City,Darren England
2023-04-22,Home,W,4-2-3-1,Premier League,Wolves,Andy Madley
2023-04-25,Away,D,4-2-3-1,Premier League,Leeds United,Paul Tierney
2023-05-01,Home,D,4-3-3,Premier League,Everton,Michael Oliver
2023-05-08,Away,L,4-2-3-1,Premier League,Fulham,Robert Jones
2023-05-15,Home,L,4-2-3-1,Premier League,Liverpool,Craig Pawson
2023-05-22,Away,D,5-3-2,Premier League,Newcastle Utd,Andre Marriner
2023-05-28,Home,W,4-2-3-1,Premier League,West Ham,Simon Hooper
