Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-07-30,Neutral,W,4-3-3,Community Shield,Manchester City,Craig Pawson
2022-08-06,Away,D,4-3-3,Premier League,Fulham,Andy Madley
2022-08-15,Home,D,4-3-3,Premier League,Crystal Palace,Paul Tierney
2022-08-22,Away,L,4-3-3,Premier League,Manchester Utd,Michael Oliver
2022-08-27,Home,W,4-3-3,Premier League,Bournemouth,Stuart Attwell
2022-08-31,Home,W,4-3-3,Premier League,Newcastle Utd,Andre Marriner
2022-09-03,Away,D,4-3-3,Premier League,Everton,Anthony Taylor
2022-09-07,Away,L,4-3-3,Champions Lg,it Napoli,Carlos del Cerro
2022-09-13,Home,W,4-3-3,Champions Lg,nl Ajax,Artur Dias
2022-10-01,Home,D,4-3-3,Premier League,Brighton,Andy Madley
2022-10-04,Home,W,4-2-3-1,Champions Lg,sct Rangers,Clément Turpin
2022-10-09,Away,L,4-2-3-1,Premier League,Arsenal,Michael Oliver
2022-10-12,Away,W,4-4-2,Champions Lg,sct Rangers,Slavko Vinčič
2022-10-16,Home,W,4-2-3-1,Premier League,Manchester City,Anthony Taylor
2022-10-19,Home,W,4-4-2,Premier League,West Ham,Stuart Attwell
2022-10-22,Away,L,4-4-2,Premier League,Nott'ham Forest,Paul Tierney
2022-10-26,Away,W,4-1-2-1-2◆,Champions Lg,nl Ajax,José Sánchez
2022-10-29,Home,L,4-1-2-1-2◆,Premier League,Leeds United,Michael Oliver
2022-11-01,Home,W,4-3-3,Champions Lg,it Napoli,Tobias Stieler
2022-11-06,Away,W,4-1-2-1-2◆,Premier League,Tottenham,Andy Madley
2022-11-09,Home,D,4-3-3,EFL Cup,Derby County,Tony Harrington
2022-11-12,Home,W,4-3-3,Premier League,Southampton,Simon Hooper
2022-12-22,Away,L,4-3-3,EFL Cup,Manchester City,David Coote
2022-12-26,Away,W,4-3-3,Premier League,Aston Villa,Paul Tierney
2022-12-30,Home,W,4-3-3,Premier League,Leicester City,Craig Pawson
2023-01-02,Away,L,4-3-3,Premier League,Brentford,Stuart Attwell
2023-01-07,Home,D,4-3-3,FA Cup,Wolves,Andy Madley
2023-01-14,Away,L,4-1-2-1-2◆,Premier League,Brighton,Darren England
2023-01-17,Away,W,4-3-3,FA Cup,Wolves,Andre Marriner
2023-01-21,Home,D,4-3-3,Premier League,Chelsea,Michael Oliver
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-01-29,Away,L,4-3-3,FA Cup,Brighton,David Coote
2023-02-04,Away,L,4-3-3,Premier League,Wolves,Paul Tierney
2023-02-13,Home,W,4-3-3,Premier League,Everton,Simon Hooper
2023-02-18,Away,W,4-3-3,Premier League,Newcastle Utd,Anthony Taylor
2023-02-21,Home,L,4-3-3,Champions Lg,es Real Madrid,István Kovács
2023-02-25,Away,D,4-3-3,Premier League,Crystal Palace,Darren England
2023-03-01,Home,W,4-3-3,Premier League,Wolves,Paul Tierney
2023-03-05,Home,W,4-3-3,Premier League,Manchester Utd,Andy Madley
2023-03-11,Away,L,4-3-3,Premier League,Bournemouth,John Brooks
2023-03-15,Away,L,4-3-3,Champions Lg,es Real Madrid,Felix Zwayer
2023-04-01,Away,L,4-3-3,Premier League,Manchester City,Simon Hooper
2023-04-04,Away,D,4-3-3,Premier League,Chelsea,Anthony Taylor
2023-04-09,Home,D,4-3-3,Premier League,Arsenal,Paul Tierney
2023-04-17,Away,W,4-3-3,Premier League,Leeds United,Craig Pawson
2023-04-22,Home,W,4-3-3,Premier League,Nott'ham Forest,Michael Oliver
2023-04-26,Away,W,4-3-3,Premier League,West Ham,Chris Kavanagh
2023-04-30,Home,W,4-3-3,Premier League,Tottenham,Paul Tierney
2023-05-03,Home,W,4-3-3,Premier League,Fulham,Stuart Attwell
2023-05-06,Home,W,4-3-3,Premier League,Brentford,Anthony Taylor
2023-05-15,Away,W,4-3-3,Premier League,Leicester City,Craig Pawson
2023-05-20,Home,D,4-3-3,Premier League,Aston Villa,John Brooks
2023-05-28,Away,D,4-3-3,Premier League,Southampton,Darren England
