Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-07-30,Neutral,L,4-3-3,Community Shield,Liverpool,Craig Pawson
2022-08-07,Away,W,4-3-3,Premier League,West Ham,Michael Oliver
2022-08-13,Home,W,4-2-3-1,Premier League,Bournemouth,David Coote
2022-08-21,Away,D,4-3-3,Premier League,Newcastle Utd,Jarred Gillett
2022-08-27,Home,W,4-2-3-1,Premier League,Crystal Palace,Darren England
2022-08-31,Home,W,4-2-3-1,Premier League,Nott'ham Forest,Paul Tierney
2022-09-03,Away,D,4-3-3,Premier League,Aston Villa,Simon Hooper
2022-09-06,Away,W,4-3-3,Champions Lg,es Sevilla,Davide Massa
2022-09-14,Home,W,4-3-3,Champions Lg,de Dortmund,Daniele Orsato
2022-09-17,Away,W,4-3-3,Premier League,Wolves,Anthony Taylor
2022-10-02,Home,W,4-3-3,Premier League,Manchester Utd,Michael Oliver
2022-10-05,Home,W,4-4-2,Champions Lg,dk FC Copenhagen,Donatas Rumšas
2022-10-08,Home,W,4-2-3-1,Premier League,Southampton,Andy Madley
2022-10-11,Away,D,4-2-3-1,Champions Lg,dk FC Copenhagen,Artur Dias
2022-10-16,Away,L,3-4-3,Premier League,Liverpool,Anthony Taylor
2022-10-22,Home,W,4-3-3,Premier League,Brighton,Craig Pawson
2022-10-25,Away,D,4-4-2,Champions Lg,de Dortmund,Davide Massa
2022-10-29,Away,W,4-3-3,Premier League,Leicester City,Robert Jones
2022-11-02,Home,W,4-3-3,Champions Lg,es Sevilla,Orel Grinfeeld
2022-11-05,Home,W,4-3-3,Premier League,Fulham,Darren England
2022-11-09,Home,W,4-2-3-1,EFL Cup,Chelsea,Simon Hooper
2022-11-12,Home,L,4-3-3,Premier League,Brentford,Peter Bankes
2022-12-22,Home,W,4-3-3,EFL Cup,Liverpool,David Coote
2022-12-28,Away,W,4-3-3,Premier League,Leeds United,Stuart Attwell
2022-12-31,Home,D,4-3-3,Premier League,Everton,Andy Madley
2023-01-05,Away,W,3-2-4-1,Premier League,Chelsea,Paul Tierney
2023-01-08,Home,W,4-3-3,FA Cup,Chelsea,Robert Jones
2023-01-11,Away,L,4-3-3,EFL Cup,Southampton,Peter Bankes
2023-01-14,Away,L,4-3-3,Premier League,Manchester Utd,Stuart Attwell
2023-01-19,Home,W,4-2-3-1,Premier League,Tottenham,Simon Hooper
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-01-22,Home,W,3-2-4-1,Premier League,Wolves,David Coote
2023-01-27,Home,W,3-2-4-1,FA Cup,Arsenal,Paul Tierney
2023-02-05,Away,L,4-4-2,Premier League,Tottenham,Andy Madley
2023-02-12,Home,W,3-2-4-1,Premier League,Aston Villa,Robert Jones
2023-02-15,Away,W,4-1-4-1,Premier League,Arsenal,Anthony Taylor
2023-02-18,Away,D,3-2-4-1,Premier League,Nott'ham Forest,Graham Scott
2023-02-22,Away,D,3-2-4-1,Champions Lg,de RB Leipzig,Serdar Gözübüyük
2023-02-25,Away,W,3-2-4-1,Premier League,Bournemouth,Paul Tierney
2023-02-28,Away,W,3-2-4-1,FA Cup,Bristol City,Andre Marriner
2023-03-04,Home,W,4-2-3-1,Premier League,Newcastle Utd,Simon Hooper
2023-03-11,Away,W,4-2-3-1,Premier League,Crystal Palace,Robert Jones
2023-03-14,Home,W,3-2-4-1,Champions Lg,de RB Leipzig,Slavko Vinčič
2023-03-18,Home,W,3-2-4-1,FA Cup,Burnley,John Brooks
2023-04-01,Home,W,3-2-4-1,Premier League,Liverpool,Simon Hooper
2023-04-08,Away,W,3-2-4-1,Premier League,Southampton,Robert Jones
2023-04-11,Home,W,3-2-4-1,Champions Lg,de Bayern Munich,Jesús Gil
2023-04-15,Home,W,3-2-4-1,Premier League,Leicester City,Darren England
2023-04-19,Away,D,3-2-4-1,Champions Lg,de Bayern Munich,Clément Turpin
2023-04-22,Neutral,W,3-4-3◆,FA Cup,Sheffield Utd,Stuart Attwell
2023-04-26,Home,W,4-3-3,Premier League,Arsenal,Michael Oliver
2023-04-30,Away,W,3-2-4-1,Premier League,Fulham,Simon Hooper
2023-05-03,Home,W,3-2-4-1,Premier League,West Ham,John Brooks
2023-05-06,Home,W,3-2-4-1,Premier League,Leeds United,Andy Madley
2023-05-09,Away,D,3-2-4-1,Champions Lg,es Real Madrid,Artur Dias
2023-05-14,Away,W,4-2-3-1,Premier League,Everton,Anthony Taylor
2023-05-17,Home,W,3-2-4-1,Champions Lg,es Real Madrid,Szymon Marciniak
2023-05-21,Home,W,3-4-3◆,Premier League,Chelsea,Michael Oliver
2023-05-24,Away,D,4-3-3,Premier League,Brighton,Simon Hooper
2023-05-28,Away,L,3-2-4-1,Premier League,Brentford,John Brooks
