Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-06,Away,L,5-3-2,Premier League,Tottenham,Andre Marriner
2022-08-13,Home,D,3-4-3,Premier League,Leeds United,Tony Harrington
2022-08-20,Away,W,4-2-3-1,Premier League,Leicester City,Michael Salisbury
2022-08-23,Away,W,4-2-3-1,EFL Cup,Cambridge Utd,David Rock
2022-08-27,Home,L,4-2-3-1,Premier League,Manchester Utd,Andy Madley
2022-08-30,Home,W,4-2-3-1,Premier League,Chelsea,Michael Oliver
2022-09-03,Away,L,4-2-3-1,Premier League,Wolves,John Brooks
2022-09-16,Away,L,4-2-3-1,Premier League,Aston Villa,Tony Harrington
2022-10-01,Home,L,4-4-2,Premier League,Everton,Andre Marriner
2022-10-08,Away,L,4-4-2,Premier League,Manchester City,Andy Madley
2022-10-16,Home,D,4-3-3,Premier League,West Ham,Peter Bankes
2022-10-19,Away,W,4-4-2,Premier League,Bournemouth,John Brooks
2022-10-23,Home,D,4-4-2,Premier League,Arsenal,Robert Jones
2022-10-29,Away,L,3-5-2,Premier League,Crystal Palace,Michael Salisbury
2022-11-06,Home,L,4-2-3-1,Premier League,Newcastle Utd,Stuart Attwell
2022-11-09,Home,D,4-2-3-1,EFL Cup,Sheffield Weds,John Brooks
2022-11-12,Away,L,5-3-2,Premier League,Liverpool,Simon Hooper
2022-12-20,Home,W,3-5-2,EFL Cup,Lincoln City,Jarred Gillett
2022-12-26,Home,L,4-2-3-1,Premier League,Brighton,Robert Jones
2022-12-31,Away,L,3-4-3,Premier League,Fulham,Graham Scott
2023-01-04,Home,L,3-1-4-2,Premier League,Nott'ham Forest,Thomas Bramall
2023-01-07,Away,W,4-2-3-1,FA Cup,Crystal Palace,Darren Bond
2023-01-11,Home,W,4-2-3-1,EFL Cup,Manchester City,Peter Bankes
2023-01-14,Away,W,4-2-3-1,Premier League,Everton,John Brooks
2023-01-21,Home,L,4-2-3-1,Premier League,Aston Villa,Michael Salisbury
2023-01-24,Home,L,4-2-3-1,EFL Cup,Newcastle Utd,Stuart Attwell
2023-01-28,Home,W,4-2-3-1,FA Cup,Blackpool,Craig Pawson
2023-01-31,Away,L,5-3-2,EFL Cup,Newcastle Utd,Paul Tierney
2023-02-04,Away,L,4-2-3-1,Premier League,Brentford,Darren Bond
2023-02-11,Home,L,5-3-2,Premier League,Wolves,Jarred Gillett
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-02-18,Away,W,4-4-2,Premier League,Chelsea,David Coote
2023-02-25,Away,L,4-4-2,Premier League,Leeds United,Peter Bankes
2023-03-01,Home,L,4-4-2,FA Cup,Grimsby Town,Thomas Bramall
2023-03-04,Home,W,4-2-3-1,Premier League,Leicester City,Robert Jones
2023-03-12,Away,D,4-2-3-1,Premier League,Manchester Utd,Anthony Taylor
2023-03-15,Home,L,4-2-3-1,Premier League,Brentford,Michael Salisbury
2023-03-18,Home,D,4-4-2,Premier League,Tottenham,Simon Hooper
2023-04-02,Away,L,4-4-2,Premier League,West Ham,Paul Tierney
2023-04-08,Home,L,4-4-2,Premier League,Manchester City,Robert Jones
2023-04-15,Home,L,4-4-2,Premier League,Crystal Palace,Michael Oliver
2023-04-21,Away,D,4-4-2,Premier League,Arsenal,Simon Hooper
2023-04-27,Home,L,4-4-2,Premier League,Bournemouth,Darren England
2023-04-30,Away,L,4-4-2,Premier League,Newcastle Utd,Anthony Taylor
2023-05-08,Away,L,4-2-3-1,Premier League,Nott'ham Forest,Michael Oliver
2023-05-13,Home,L,4-2-3-1,Premier League,Fulham,Thomas Bramall
2023-05-21,Away,L,4-1-4-1,Premier League,Brighton,Paul Tierney
2023-05-28,Home,D,4-2-3-1,Premier League,Liverpool,Darren England
