Date,Venue,Result,Formation,Comp,Opponent,Referee
2022-08-06,Away,L,4-2-3-1,Premier League,Leeds United,Robert Jones
2022-08-13,Home,D,4-2-3-1,Premier League,Fulham,John Brooks
2022-08-20,Away,L,3-5-2,Premier League,Tottenham,Simon Hooper
2022-08-23,Home,W,4-3-3,EFL Cup,Preston,Thomas Bramall
2022-08-28,Home,D,4-3-3,Premier League,Newcastle Utd,Peter Bankes
2022-08-31,Away,D,4-3-3,Premier League,Bournemouth,Anthony Taylor
2022-09-03,Home,W,4-3-3,Premier League,Southampton,John Brooks
2022-09-17,Home,L,4-3-3,Premier League,Manchester City,Anthony Taylor
2022-10-01,Away,L,3-4-3,Premier League,West Ham,Paul Tierney
2022-10-08,Away,L,4-2-3-1,Premier League,Chelsea,Simon Hooper
2022-10-15,Home,W,4-2-3-1,Premier League,Nott'ham Forest,Thomas Bramall
2022-10-18,Away,L,4-2-3-1,Premier League,Crystal Palace,David Coote
2022-10-23,Home,L,4-2-3-1,Premier League,Leicester City,Michael Oliver
2022-10-29,Away,D,4-2-3-1,Premier League,Brentford,Robert Madley
2022-11-05,Home,L,4-3-3,Premier League,Brighton,Graham Scott
2022-11-09,Home,W,4-3-3,EFL Cup,Leeds United,Andre Marriner
2022-11-12,Home,L,5-3-2,Premier League,Arsenal,Stuart Attwell
2022-12-20,Home,W,4-3-3,EFL Cup,Gillingham,Michael Salisbury
2022-12-26,Away,W,4-3-3,Premier League,Everton,Craig Pawson
2022-12-31,Home,L,4-2-3-1,Premier League,Manchester Utd,Robert Jones
2023-01-04,Away,D,4-2-3-1,Premier League,Aston Villa,Jarred Gillett
2023-01-07,Away,D,4-4-2,FA Cup,Liverpool,Andy Madley
2023-01-11,Away,D,3-4-3,EFL Cup,Nott'ham Forest,Graham Scott
2023-01-14,Home,W,4-2-3-1,Premier League,West Ham,Simon Hooper
2023-01-17,Home,L,4-2-3-1,FA Cup,Liverpool,Andre Marriner
2023-01-22,Away,L,4-3-3,Premier League,Manchester City,David Coote
2023-02-04,Home,W,4-4-2,Premier League,Liverpool,Paul Tierney
2023-02-11,Away,W,4-2-3-1,Premier League,Southampton,Jarred Gillett
2023-02-18,Home,L,4-2-3-1,Premier League,Bournemouth,Michael Salisbury
2023-02-24,Away,D,4-4-2,Premier League,Fulham,Michael Oliver
Date,Venue,Result,Formation,Comp,Opponent,Referee
2023-03-01,Away,L,4-2-3-1,Premier League,Liverpool,Paul Tierney
2023-03-04,Home,W,4-2-3-1,Premier League,Tottenham,Tim Robinson
2023-03-12,Away,L,4-2-3-1,Premier League,Newcastle Utd,Andy Madley
2023-03-18,Home,L,4-3-3,Premier League,Leeds United,Michael Salisbury
2023-04-01,Away,D,4-2-3-1,Premier League,Nott'ham Forest,Chris Kavanagh
2023-04-08,Home,W,4-4-2,Premier League,Chelsea,Peter Bankes
2023-04-15,Home,W,4-4-2,Premier League,Brentford,Paul Tierney
2023-04-22,Away,L,4-4-2,Premier League,Leicester City,Andy Madley
2023-04-25,Home,W,4-4-2,Premier League,Crystal Palace,Robert Jones
2023-04-29,Away,L,4-4-2,Premier League,Brighton,David Coote
2023-05-06,Home,W,4-4-2,Premier League,Aston Villa,Stuart Attwell
2023-05-13,Away,L,4-4-2,Premier League,Manchester Utd,John Brooks
2023-05-20,Home,D,4-4-2,Premier League,Everton,David Coote
2023-05-28,Away,L,4-3-3,Premier League,Arsenal,Andre Marriner
